search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,activation,alpha,hidden_layer_sizes,learning_rate,learning_rate_init,max_iter
1,7,0.49035387112974005,0.02361016488286,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.04559917222319405), 'hidden_layer_sizes': (100, 50, 100, 50), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.04472008133885026), 'max_iter': 331}",relu,0.04559917222319405,"(100, 50, 100, 50)",constant,0.04472008133885026,331
1,8,0.4887116140773943,0.01849942534574884,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.010639671414566789), 'hidden_layer_sizes': (100, 100, 100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.08839988627070336), 'max_iter': 413}",relu,0.010639671414566789,"(100, 100, 100, 100)",invscaling,0.08839988627070336,413
1,9,0.49251560261061,0.024384584192826953,0.8984261160314981,0.029764917710396147,"{'activation': 'logistic', 'alpha': np.float64(0.07150222500509887), 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.09441313743731783), 'max_iter': 354}",logistic,0.07150222500509887,"(100, 100, 100)",adaptive,0.09441313743731783,354
2,0,0.5047640841715595,0.010625900530798548,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.016267293104964144), 'hidden_layer_sizes': (100, 50, 100, 50), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.07484862008607067), 'max_iter': 377}",relu,0.016267293104964144,"(100, 50, 100, 50)",constant,0.07484862008607067,377
2,1,0.5008113460982989,0.017268506828666215,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.06099302001909892), 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.05425122031736845), 'max_iter': 438}",relu,0.06099302001909892,"(100, 100, 100)",adaptive,0.05425122031736845,438
2,2,0.5051527381285055,0.013870538053899595,1.0,0.0,"{'activation': 'tanh', 'alpha': np.float64(0.10521115484014423), 'hidden_layer_sizes': (100, 100, 50, 50), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.08132569256687887), 'max_iter': 574}",tanh,0.10521115484014423,"(100, 100, 50, 50)",constant,0.08132569256687887,574
2,3,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.07875007018778575), 'hidden_layer_sizes': (100, 50, 100, 50), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.030770574695798136), 'max_iter': 482}",logistic,0.07875007018778575,"(100, 50, 100, 50)",constant,0.030770574695798136,482
2,4,0.5080926754501278,0.03237817571454305,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.05813176340946575), 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.08161958798526106), 'max_iter': 464}",relu,0.05813176340946575,"(100, 100, 100)",adaptive,0.08161958798526106,464
2,5,0.5070040826004036,0.021027256050301014,1.0,0.0,"{'activation': 'tanh', 'alpha': np.float64(0.09853904641722765), 'hidden_layer_sizes': (200, 200, 200), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.053729239547505483), 'max_iter': 282}",tanh,0.09853904641722765,"(200, 200, 200)",invscaling,0.053729239547505483,282
2,6,0.4989459391313532,0.014909320603764079,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.09736385659093542), 'hidden_layer_sizes': (50, 50, 50, 50), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.07848833225568404), 'max_iter': 220}",relu,0.09736385659093542,"(50, 50, 50, 50)",invscaling,0.07848833225568404,220
2,7,0.5137316779220253,0.01425456831777627,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.03173272453949453), 'hidden_layer_sizes': (200, 200, 200, 200), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.07848791150315976), 'max_iter': 366}",relu,0.03173272453949453,"(200, 200, 200, 200)",constant,0.07848791150315976,366
2,8,0.4993619381760809,0.016893641595491653,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.06116775772422114), 'hidden_layer_sizes': (100, 100, 100, 100), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.03176232465131853), 'max_iter': 446}",relu,0.06116775772422114,"(100, 100, 100, 100)",constant,0.03176232465131853,446
2,9,0.4914679141556964,0.011016735541442679,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.04020933192006862), 'hidden_layer_sizes': (50, 100, 200, 300), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.06334744909253748), 'max_iter': 297}",relu,0.04020933192006862,"(50, 100, 200, 300)",adaptive,0.06334744909253748,297
3,0,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.03345806877140753), 'hidden_layer_sizes': (50, 100, 200, 300), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.06051237921035685), 'max_iter': 360}",logistic,0.03345806877140753,"(50, 100, 200, 300)",adaptive,0.06051237921035685,360
3,1,0.5033632316864821,0.010835282898430908,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.03632204121410502), 'hidden_layer_sizes': (50, 100, 200, 300), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.007942614002513504), 'max_iter': 273}",relu,0.03632204121410502,"(50, 100, 200, 300)",adaptive,0.007942614002513504,273
3,2,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.09244473361874737), 'hidden_layer_sizes': (300, 200, 100, 50), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.01901170017667956), 'max_iter': 548}",logistic,0.09244473361874737,"(300, 200, 100, 50)",constant,0.01901170017667956,548
