search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,metric,n_neighbors,weights
0,38,0.3247493983336239,0.027420375641424848,1.0,0.0,"{'metric': 'euclidean', 'n_neighbors': 99, 'weights': 'distance'}",euclidean,99,distance
0,39,0.348160960702632,0.024940998523129126,0.3523890045000157,0.008518114481366933,"{'metric': 'euclidean', 'n_neighbors': 42, 'weights': 'uniform'}",euclidean,42,uniform
0,40,0.3554233585877391,0.02417168447537509,0.3559901863634039,0.006641052613022144,"{'metric': 'euclidean', 'n_neighbors': 45, 'weights': 'uniform'}",euclidean,45,uniform
0,41,0.3660967524985673,0.026276559451444963,0.3855636676116469,0.003601772446137251,"{'metric': 'euclidean', 'n_neighbors': 25, 'weights': 'uniform'}",euclidean,25,uniform
0,42,0.4792530411903003,0.017364961253858224,1.0,0.0,"{'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'distance'}",euclidean,8,distance
0,43,0.3843230671433546,0.023800363548322507,1.0,0.0,"{'metric': 'manhattan', 'n_neighbors': 41, 'weights': 'distance'}",manhattan,41,distance
0,44,0.348160960702632,0.024940998523129126,0.3523890045000157,0.008518114481366933,"{'metric': 'euclidean', 'n_neighbors': 42, 'weights': 'uniform'}",euclidean,42,uniform
0,45,0.40019301855956935,0.018356965049821972,0.4365601956914181,0.00892688550460533,"{'metric': 'manhattan', 'n_neighbors': 17, 'weights': 'uniform'}",manhattan,17,uniform
0,46,0.35894100984631405,0.015523836710117676,1.0,0.0,"{'metric': 'manhattan', 'n_neighbors': 60, 'weights': 'distance'}",manhattan,60,distance
0,47,0.3614959972805378,0.020925165344543747,1.0,0.0,"{'metric': 'euclidean', 'n_neighbors': 36, 'weights': 'distance'}",euclidean,36,distance
0,48,0.36991289903702534,0.025140215827494008,0.4073370886832167,0.0066073267619253745,"{'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'uniform'}",euclidean,14,uniform
0,49,0.35796362926256026,0.01712515581858378,1.0,0.0,"{'metric': 'manhattan', 'n_neighbors': 64, 'weights': 'distance'}",manhattan,64,distance
