search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,activation,alpha,hidden_layer_sizes,learning_rate,learning_rate_init,max_iter,n_networks,solver,voting
0,13,0.017391304347826087,0.034782608695652174,0.011211274758760792,0.017309590415863274,"{'activation': 'tanh', 'alpha': np.float64(0.03549126741693343), 'hidden_layer_sizes': (50, 100, 400), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.004114344525628722), 'max_iter': 122, 'n_networks': 7, 'solver': 'adam', 'voting': 'soft'}",tanh,0.03549126741693343,"(50, 100, 400)",adaptive,0.004114344525628722,122,7,adam,soft
0,14,0.0,0.0,0.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.028360103920982795), 'hidden_layer_sizes': (150, 75), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.00225595585081562), 'max_iter': 284, 'n_networks': 7, 'solver': 'adam', 'voting': 'soft'}",relu,0.028360103920982795,"(150, 75)",constant,0.00225595585081562,284,7,adam,soft
0,15,0.01702127659574468,0.03404255319148936,0.02415841364302527,0.03248818523627703,"{'activation': 'tanh', 'alpha': np.float64(0.014563601913619495), 'hidden_layer_sizes': (50, 50, 50, 50), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.007189219424485798), 'max_iter': 391, 'n_networks': 3, 'solver': 'adam', 'voting': 'soft'}",tanh,0.014563601913619495,"(50, 50, 50, 50)",constant,0.007189219424485798,391,3,adam,soft
0,16,0.008695652173913044,0.017391304347826087,0.024681438704412778,0.00836819818158005,"{'activation': 'tanh', 'alpha': np.float64(0.016642849750077127), 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.01074696438736241), 'max_iter': 136, 'n_networks': 3, 'solver': 'adam', 'voting': 'soft'}",tanh,0.016642849750077127,"(50,)",adaptive,0.01074696438736241,136,3,adam,soft
0,17,0.0,0.0,0.015693662967515568,0.011326535497510266,"{'activation': 'tanh', 'alpha': np.float64(0.09852749226108821), 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.005916781205803628), 'max_iter': 473, 'n_networks': 5, 'solver': 'adam', 'voting': 'soft'}",tanh,0.09852749226108821,"(100,)",constant,0.005916781205803628,473,5,adam,soft
0,18,0.0,0.0,0.004545454545454545,0.005567022142689042,"{'activation': 'tanh', 'alpha': np.float64(0.028494725925427844), 'hidden_layer_sizes': (300, 200, 200), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.007614455053945745), 'max_iter': 104, 'n_networks': 5, 'solver': 'adam', 'voting': 'soft'}",tanh,0.028494725925427844,"(300, 200, 200)",constant,0.007614455053945745,104,5,adam,soft
0,19,0.0,0.0,0.026880250282390227,0.016530059320496414,"{'activation': 'tanh', 'alpha': np.float64(0.010336880740151733), 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.0035222865498673863), 'max_iter': 161, 'n_networks': 5, 'solver': 'adam', 'voting': 'soft'}",tanh,0.010336880740151733,"(100,)",adaptive,0.0035222865498673863,161,5,adam,soft
1,0,0.017052154195011337,0.02091602897290332,0.028137700215156585,0.0352657526007255,"{'activation': 'tanh', 'alpha': np.float64(0.06356916360184611), 'hidden_layer_sizes': (200,), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.008254708022795454), 'max_iter': 398, 'n_networks': 3, 'solver': 'adam', 'voting': 'soft'}",tanh,0.06356916360184611,"(200,)",constant,0.008254708022795454,398,3,adam,soft
1,1,0.0,0.0,0.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.03123077493281844), 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0016057913013183258), 'max_iter': 235, 'n_networks': 3, 'solver': 'adam', 'voting': 'soft'}",relu,0.03123077493281844,"(50,)",constant,0.0016057913013183258,235,3,adam,soft
1,2,0.00851063829787234,0.01702127659574468,0.04959909562807256,0.052476418030662254,"{'activation': 'tanh', 'alpha': np.float64(0.0053047034771325), 'hidden_layer_sizes': (200, 200, 100), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.004458359839295109), 'max_iter': 151, 'n_networks': 5, 'solver': 'adam', 'voting': 'soft'}",tanh,0.0053047034771325,"(200, 200, 100)",constant,0.004458359839295109,151,5,adam,soft
