search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,C,gamma,kernel
0,0,0.2778128298843266,0.04643744849727748,0.28382145280723525,0.01316930518673626,"{'C': np.float64(36.85927051160605), 'gamma': np.float64(0.023618398005985298), 'kernel': 'linear'}",36.85927051160605,0.023618398005985298,linear
0,1,0.3904871540527318,0.05933513833233101,0.38518214892243025,0.03954012594970361,"{'C': np.float64(11.946747940708715), 'gamma': np.float64(0.08448747256476143), 'kernel': 'sigmoid'}",11.946747940708715,0.08448747256476143,sigmoid
0,2,0.3872670467046455,0.0630535382454883,0.3839911570054185,0.04069704144100268,"{'C': np.float64(9.018503952821789), 'gamma': np.float64(0.08448747256476143), 'kernel': 'sigmoid'}",9.018503952821789,0.08448747256476143,sigmoid
0,3,0.06433908106256074,0.013282059607714116,1.0,0.0,"{'C': np.float64(11.567573480487038), 'gamma': np.float64(3.901075315951252), 'kernel': 'rbf'}",11.567573480487038,3.901075315951252,rbf
0,4,0.3419211794251937,0.022565581007702465,0.30727477699881794,0.006875613890503648,"{'C': np.float64(12.125734440672721), 'gamma': np.float64(5.035331699873661), 'kernel': 'sigmoid'}",12.125734440672721,5.035331699873661,sigmoid
1,0,0.3676093894407362,0.03097135025312182,0.33588385536699,0.01732792437620983,"{'C': np.float64(36.066532891966276), 'gamma': np.float64(0.014662494819795029), 'kernel': 'sigmoid'}",36.066532891966276,0.014662494819795029,sigmoid
1,1,0.5214654196418352,0.03454228290329202,0.9616190948863357,0.006308520796621137,"{'C': np.float64(11.86445500184394), 'gamma': np.float64(0.1149112440891582), 'kernel': 'rbf'}",11.86445500184394,0.1149112440891582,rbf
1,2,0.3363589742551249,0.02202858061687218,0.3223196505920374,0.013881533091850962,"{'C': np.float64(39.50499376418234), 'gamma': np.float64(2.470284675999506), 'kernel': 'sigmoid'}",39.50499376418234,2.470284675999506,sigmoid
1,3,0.3342824484164252,0.034153556362142734,0.313227456098752,0.013530961401225365,"{'C': np.float64(12.368974047128585), 'gamma': np.float64(3.052970743933435), 'kernel': 'sigmoid'}",12.368974047128585,3.052970743933435,sigmoid
1,4,0.49389991248900317,0.01753258628986934,0.7267205403172994,0.016208164821992315,"{'C': np.float64(32.48004931020472), 'gamma': np.float64(0.02768166821830372), 'kernel': 'rbf'}",32.48004931020472,0.02768166821830372,rbf
2,0,0.3724097851920583,0.020786561512951073,0.3172191540455938,0.019800048172942543,"{'C': np.float64(20.23887812995102), 'gamma': np.float64(0.7040308221366725), 'kernel': 'sigmoid'}",20.23887812995102,0.7040308221366725,sigmoid
2,1,0.2778128298843266,0.04643744849727748,0.2837580571728685,0.013106283482457239,"{'C': np.float64(21.314774625084123), 'gamma': np.float64(3.953095718498429), 'kernel': 'linear'}",21.314774625084123,3.953095718498429,linear
2,2,0.5099665538518844,0.027255855734207187,0.9737314888075096,0.002989760769097961,"{'C': np.float64(38.661793039402646), 'gamma': np.float64(0.08448747256476143), 'kernel': 'rbf'}",38.661793039402646,0.08448747256476143,rbf
2,3,0.3843665036950452,0.043067818595436354,0.38353064258806785,0.05521371795461277,"{'C': np.float64(36.954761687570056), 'gamma': np.float64(0.019516473829982034), 'kernel': 'sigmoid'}",36.954761687570056,0.019516473829982034,sigmoid
2,4,0.12066871370722024,0.02625922187276194,1.0,0.0,"{'C': np.float64(37.796139178079386), 'gamma': np.float64(1.517706795923395), 'kernel': 'rbf'}",37.796139178079386,1.517706795923395,rbf
3,0,0.3595319552360185,0.0072538975942320295,0.3181098555862326,0.009172349197626939,"{'C': np.float64(48.16473840790426), 'gamma': np.float64(1.7494449392380913), 'kernel': 'sigmoid'}",48.16473840790426,1.7494449392380913,sigmoid
3,1,0.2778128298843266,0.04643744849727748,0.28382145280723525,0.01316930518673626,"{'C': np.float64(48.656120018564366), 'gamma': np.float64(0.012842496854011043), 'kernel': 'linear'}",48.656120018564366,0.012842496854011043,linear
3,2,0.5222722015692846,0.02848875074692662,0.9302888571613801,0.005174034104512057,"{'C': np.float64(45.844310993266205), 'gamma': np.float64(0.058608696262893716), 'kernel': 'rbf'}",45.844310993266205,0.058608696262893716,rbf
3,3,0.2968173095631793,0.02816601540861205,1.0,0.0,"{'C': np.float64(51.8621062176145), 'gamma': np.float64(0.4909438803376131), 'kernel': 'rbf'}",51.8621062176145,0.4909438803376131,rbf
3,4,0.4277560228778275,0.044425044622209385,0.554728095988932,0.0068085777841324305,"{'C': np.float64(11.499262229324431), 'gamma': np.float64(0.019083517808997138), 'kernel': 'rbf'}",11.499262229324431,0.019083517808997138,rbf
4,0,0.37062341318469183,0.019336684012469553,0.3167242412029313,0.019685019538132873,"{'C': np.float64(20.66083007257617), 'gamma': np.float64(0.7040308221366725), 'kernel': 'sigmoid'}",20.66083007257617,0.7040308221366725,sigmoid
4,1,0.2778128298843266,0.04643744849727748,0.28405765607858235,0.013412063100910377,"{'C': np.float64(15.601304471163397), 'gamma': 'scale', 'kernel': 'linear'}",15.601304471163397,scale,linear
4,2,0.2778128298843266,0.04643744849727748,0.28382145280723525,0.01316930518673626,"{'C': np.float64(42.550743570874204), 'gamma': np.float64(3.953095718498429), 'kernel': 'linear'}",42.550743570874204,3.953095718498429,linear
4,3,0.2778128298843266,0.04643744849727748,0.28382145280723525,0.01316930518673626,"{'C': np.float64(46.7523037498728), 'gamma': np.float64(0.10839939835731706), 'kernel': 'linear'}",46.7523037498728,0.10839939835731706,linear
