search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,max_depth,min_samples_leaf,min_samples_split,n_estimators
0,32,0.5457470324687839,0.01828776713404899,0.7101934608131703,0.007977120581740693,"{'max_depth': 29, 'min_samples_leaf': 5, 'min_samples_split': 19, 'n_estimators': 267}",29,5,19,267
0,33,0.5442424482248823,0.015721933056214454,0.7146494849396012,0.005529895706937896,"{'max_depth': 23, 'min_samples_leaf': 7, 'min_samples_split': 11, 'n_estimators': 284}",23,7,11,284
0,34,0.5386780713705941,0.01978368152637958,0.6666976425963881,0.010035663267630028,"{'max_depth': 17, 'min_samples_leaf': 9, 'min_samples_split': 11, 'n_estimators': 269}",17,9,11,269
0,35,0.5228040380650741,0.015385739152726683,0.559186291717357,0.002832762896647188,"{'max_depth': 6, 'min_samples_leaf': 7, 'min_samples_split': 4, 'n_estimators': 119}",6,7,4,119
0,36,0.56154769443026,0.007760458808156966,0.9070712407894284,0.002809678260622479,"{'max_depth': 25, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 48}",25,1,10,48
0,37,0.5609465648106267,0.013724079768855308,0.9051813633230898,0.003101790862603342,"{'max_depth': 38, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 52}",38,2,8,52
0,38,0.5384949972236487,0.012207179481920448,0.753911279905508,0.004530956886927928,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 74}",10,1,8,74
0,39,0.560011918662912,0.012324357323980099,0.8371538398415057,0.005092142774050254,"{'max_depth': 18, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 255}",18,4,2,255
0,40,0.5493259239924482,0.015177085139470444,0.7916030422008795,0.00784091673895714,"{'max_depth': 23, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 192}",23,5,8,192
0,41,0.5568605435987457,0.016012009743079803,0.8484798883880247,0.005403971959232829,"{'max_depth': 20, 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 22}",20,3,9,22
0,42,0.5662325149730257,0.011977117791935867,0.9250470866583708,0.00398358262721175,"{'max_depth': 46, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 94}",46,2,7,94
0,43,0.5407868931560673,0.013672521564505985,0.667303276369236,0.008022420569094755,"{'max_depth': 40, 'min_samples_leaf': 9, 'min_samples_split': 17, 'n_estimators': 215}",40,9,17,215
0,44,0.5264507118473768,0.012439071152094857,0.6355059880736696,0.005857574021986656,"{'max_depth': 9, 'min_samples_leaf': 8, 'min_samples_split': 17, 'n_estimators': 250}",9,8,17,250
0,45,0.5510156359800842,0.014500567425278686,0.7912578908059965,0.007714059112239197,"{'max_depth': 28, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 232}",28,5,10,232
0,46,0.5400634057389088,0.013720048279788968,0.6843061821375609,0.006489077219014566,"{'max_depth': 38, 'min_samples_leaf': 8, 'min_samples_split': 17, 'n_estimators': 277}",38,8,17,277
0,47,0.5568721101030674,0.015516156832518571,0.7891384456318857,0.006075158273866291,"{'max_depth': 19, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 225}",19,5,4,225
0,48,0.5581609776896607,0.008370886467030183,0.7663456927796013,0.006070456143565406,"{'max_depth': 44, 'min_samples_leaf': 2, 'min_samples_split': 19, 'n_estimators': 167}",44,2,19,167
0,49,0.5414638637537702,0.017473463083772164,0.6859812709198907,0.009113554699755822,"{'max_depth': 33, 'min_samples_leaf': 8, 'min_samples_split': 7, 'n_estimators': 93}",33,8,7,93
0,50,0.5708194392051115,0.00872941179157763,0.9382765045906272,0.0043641884727483315,"{'max_depth': 49, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 65}",49,2,6,65
0,51,0.5518787756062109,0.012201202504199551,0.7945788362235875,0.005247350461692061,"{'max_depth': 45, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 84}",45,5,2,84
0,52,0.5536353488405314,0.011854329672841883,0.8132536295638214,0.00878063642983225,"{'max_depth': 16, 'min_samples_leaf': 1, 'min_samples_split': 11, 'n_estimators': 6}",16,1,11,6
0,53,0.5603630934071469,0.008559029434209322,0.8467300937353043,0.004548687177332065,"{'max_depth': 46, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 104}",46,2,12,104
0,54,0.5476482630434983,0.014739573784179888,0.7508329891779276,0.007586497070261913,"{'max_depth': 27, 'min_samples_leaf': 6, 'min_samples_split': 7, 'n_estimators': 190}",27,6,7,190
0,55,0.5394597919496822,0.01707630026176822,0.6876656285057718,0.009378097093489213,"{'max_depth': 44, 'min_samples_leaf': 8, 'min_samples_split': 15, 'n_estimators': 111}",44,8,15,111
0,56,0.5425652431548909,0.013631716653651796,0.7101941079485009,0.00980019229208584,"{'max_depth': 21, 'min_samples_leaf': 6, 'min_samples_split': 17, 'n_estimators': 66}",21,6,17,66
0,57,0.5433814445516387,0.015307648898362424,0.7179571935912814,0.006995615943068092,"{'max_depth': 46, 'min_samples_leaf': 5, 'min_samples_split': 18, 'n_estimators': 23}",46,5,18,23
0,58,0.5721896569008929,0.006180462028697026,0.9795006467032227,0.003997762859423641,"{'max_depth': 46, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 38}",46,1,5,38
0,59,0.5411635860670239,0.015327831506176198,0.690012280203035,0.009851698356778075,"{'max_depth': 43, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 133}",43,8,2,133
0,60,0.5399788696662161,0.01417168622515327,0.6667295545355127,0.0067091137788913135,"{'max_depth': 24, 'min_samples_leaf': 9, 'min_samples_split': 8, 'n_estimators': 254}",24,9,8,254
0,61,0.5665072902189665,0.007450321124295326,0.8994157810589727,0.004199431031398601,"{'max_depth': 16, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 145}",16,2,6,145
0,62,0.5222208644503264,0.017552380846958086,0.6098359948980775,0.004449117400675129,"{'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 128}",7,2,8,128
0,63,0.5484358613752021,0.008975486452536607,0.7488498902721442,0.007850121774676191,"{'max_depth': 44, 'min_samples_leaf': 6, 'min_samples_split': 4, 'n_estimators': 134}",44,6,4,134
0,64,0.5598709944710195,0.009094436893547098,0.8414659922031478,0.0012405981570460614,"{'max_depth': 14, 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 239}",14,3,7,239
0,65,0.5485791757595259,0.01421999687761496,0.7558165526456276,0.0067118836922330175,"{'max_depth': 11, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 233}",11,4,4,233
0,66,0.5405043385388054,0.020797085670629226,0.6778592130888025,0.00690627862839557,"{'max_depth': 13, 'min_samples_leaf': 7, 'min_samples_split': 19, 'n_estimators': 298}",13,7,19,298
0,67,0.5401972136304437,0.01732241335819486,0.6857329892793593,0.011526511292699498,"{'max_depth': 29, 'min_samples_leaf': 8, 'min_samples_split': 14, 'n_estimators': 102}",29,8,14,102
0,68,0.5449202403663795,0.007030945488748989,0.7452455671573611,0.008991544770503379,"{'max_depth': 17, 'min_samples_leaf': 6, 'min_samples_split': 7, 'n_estimators': 77}",17,6,7,77
0,69,0.5692425950134308,0.010202279134827559,0.9262830105921415,0.002527800013015781,"{'max_depth': 31, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 125}",31,2,7,125
0,70,0.5645809539568768,0.013360344038909103,0.8940587505053983,0.003913065554777343,"{'max_depth': 25, 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 73}",25,3,7,73
0,71,0.5333207086199716,0.022554110922863635,0.7264965591659952,0.00955008203675596,"{'max_depth': 43, 'min_samples_leaf': 6, 'min_samples_split': 13, 'n_estimators': 5}",43,6,13,5
0,72,0.5448808910300041,0.014679157980648297,0.7224000158367285,0.005501140642983342,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 295}",10,4,9,295
0,73,0.5402960832723784,0.012170374685706309,0.6682603195555632,0.008249587166890466,"{'max_depth': 10, 'min_samples_leaf': 7, 'min_samples_split': 12, 'n_estimators': 108}",10,7,12,108
0,74,0.5509165176691988,0.0158569862141922,0.7925914325957925,0.009314429576119925,"{'max_depth': 47, 'min_samples_leaf': 5, 'min_samples_split': 6, 'n_estimators': 39}",47,5,6,39
0,75,0.5405723714784424,0.020545276487818773,0.690178488927964,0.008307821292160242,"{'max_depth': 36, 'min_samples_leaf': 8, 'min_samples_split': 9, 'n_estimators': 222}",36,8,9,222
0,76,0.5644089686234911,0.011427387094367887,0.9410203604904746,0.002524278670739496,"{'max_depth': 35, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 84}",35,1,8,84
0,77,0.5514355968086815,0.013304213105026517,0.7549931449987065,0.003809360675410265,"{'max_depth': 12, 'min_samples_leaf': 2, 'min_samples_split': 14, 'n_estimators': 158}",12,2,14,158
0,78,0.5178794412460751,0.012221756495026806,0.568798988487574,0.008971682663673566,"{'max_depth': 6, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 32}",6,3,6,32
0,79,0.5572944573713943,0.010881982465233045,0.7488358839787168,0.0085284450804293,"{'max_depth': 17, 'min_samples_leaf': 3, 'min_samples_split': 18, 'n_estimators': 184}",17,3,18,184
1,0,0.5636945900468217,0.010648383016579376,0.9114549215677089,0.0012151813362546063,"{'max_depth': 33, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 120}",33,2,8,120
1,1,0.5624838511404542,0.010403930855346343,0.8824616795080736,0.0030014974178588566,"{'max_depth': 31, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 272}",31,3,8,272
1,2,0.5382041806800817,0.018420163763708693,0.6891302945641804,0.00817684501695196,"{'max_depth': 41, 'min_samples_leaf': 8, 'min_samples_split': 13, 'n_estimators': 56}",41,8,13,56
1,3,0.5281423324082308,0.016029443455977035,0.6330641340058161,0.005271075854976364,"{'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 18, 'n_estimators': 254}",8,1,18,254
1,4,0.5200680829459997,0.014312807368580297,0.5878023519253496,0.007234596153128852,"{'max_depth': 7, 'min_samples_leaf': 7, 'min_samples_split': 15, 'n_estimators': 76}",7,7,15,76
1,5,0.5430568030229259,0.018352264277354025,0.6929023109926835,0.006827316171698766,"{'max_depth': 33, 'min_samples_leaf': 7, 'min_samples_split': 18, 'n_estimators': 286}",33,7,18,286
