search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample
0,0,0.09809376834446994,0.017975229041461455,0.31756721773720925,0.06369917065082237,"{'colsample_bytree': np.float64(0.21830930399699422), 'gamma': np.float64(0.12086342729034145), 'learning_rate': np.float64(1.089627118721948), 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 226, 'reg_alpha': np.float64(1.7058567069530721), 'reg_lambda': np.float64(1.2179248489278192), 'subsample': np.float64(0.6598226023052409)}",0.21830930399699422,0.12086342729034145,1.089627118721948,3,1,226,1.7058567069530721,1.2179248489278192,0.6598226023052409
0,1,0.06853396048806679,0.020934886540417513,0.9575140510308303,0.001081602496517914,"{'colsample_bytree': np.float64(0.5539672038041977), 'gamma': np.float64(0.37454981486714967), 'learning_rate': np.float64(0.5867517874570802), 'max_depth': 9, 'min_child_weight': 2, 'n_estimators': 256, 'reg_alpha': np.float64(1.703040588796944), 'reg_lambda': np.float64(1.5634416901447774), 'subsample': np.float64(0.6764127709266624)}",0.5539672038041977,0.37454981486714967,0.5867517874570802,9,2,256,1.703040588796944,1.5634416901447774,0.6764127709266624
0,2,0.09290263904318004,0.020481003124218675,0.982121338244953,0.0009429741650619432,"{'colsample_bytree': np.float64(0.4031566698966651), 'gamma': np.float64(0.2059434640776969), 'learning_rate': np.float64(0.7669143167739872), 'max_depth': 5, 'min_child_weight': 2, 'n_estimators': 294, 'reg_alpha': np.float64(1.2115460190191705), 'reg_lambda': np.float64(0.6861953493306775), 'subsample': np.float64(0.6343522285833989)}",0.4031566698966651,0.2059434640776969,0.7669143167739872,5,2,294,1.2115460190191705,0.6861953493306775,0.6343522285833989
0,3,0.10601778521523797,0.011466313282073138,0.7852937412703043,0.06930077731530424,"{'colsample_bytree': np.float64(0.5928877103575221), 'gamma': np.float64(0.11577847075476658), 'learning_rate': np.float64(1.8020318778144178), 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 216, 'reg_alpha': np.float64(1.1705079436819865), 'reg_lambda': np.float64(1.9600314025387346), 'subsample': np.float64(0.7983044744559247)}",0.5928877103575221,0.11577847075476658,1.8020318778144178,5,3,216,1.1705079436819865,1.9600314025387346,0.7983044744559247
0,4,0.09780697900581671,0.019322620465756155,0.9926614683330982,0.001901676111718588,"{'colsample_bytree': np.float64(0.39873084221286403), 'gamma': np.float64(0.13580302382965234), 'learning_rate': np.float64(1.4241080312020025), 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 285, 'reg_alpha': np.float64(1.2543732670300403), 'reg_lambda': np.float64(0.6782522799405131), 'subsample': np.float64(0.8522320974007496)}",0.39873084221286403,0.13580302382965234,1.4241080312020025,6,1,285,1.2543732670300403,0.6782522799405131,0.8522320974007496
0,5,0.08717231631581408,0.018419228817008186,0.6222947504049003,0.015172657864091879,"{'colsample_bytree': np.float64(0.5723045568202567), 'gamma': np.float64(0.4474090623698087), 'learning_rate': np.float64(0.8879101100521762), 'max_depth': 8, 'min_child_weight': 15, 'n_estimators': 152, 'reg_alpha': np.float64(1.6200179101147296), 'reg_lambda': np.float64(0.5811168740699821), 'subsample': np.float64(0.601772709543091)}",0.5723045568202567,0.4474090623698087,0.8879101100521762,8,15,152,1.6200179101147296,0.5811168740699821,0.601772709543091
0,6,0.10840464727236106,0.01168060439838596,0.9846555109907411,0.0036820433739827517,"{'colsample_bytree': np.float64(0.5011250540964196), 'gamma': np.float64(0.12143009743930522), 'learning_rate': np.float64(1.633746451966941), 'max_depth': 7, 'min_child_weight': 2, 'n_estimators': 168, 'reg_alpha': np.float64(1.65609886098181), 'reg_lambda': np.float64(1.5265117359957336), 'subsample': np.float64(0.8777557676726253)}",0.5011250540964196,0.12143009743930522,1.633746451966941,7,2,168,1.65609886098181,1.5265117359957336,0.8777557676726253
0,7,0.10350289710762024,0.014865632639313007,0.717484970776766,0.06717936198639601,"{'colsample_bytree': np.float64(0.6534074120280347), 'gamma': np.float64(0.18356049571900881), 'learning_rate': np.float64(1.2722406098135979), 'max_depth': 8, 'min_child_weight': 18, 'n_estimators': 225, 'reg_alpha': np.float64(1.8493104713174577), 'reg_lambda': np.float64(0.8377171978161768), 'subsample': np.float64(0.7135267489065505)}",0.6534074120280347,0.18356049571900881,1.2722406098135979,8,18,225,1.8493104713174577,0.8377171978161768,0.7135267489065505
0,8,0.11035515195359455,0.008861710684380448,0.6144947506438547,0.09641958434776403,"{'colsample_bytree': np.float64(0.6859137025484606), 'gamma': np.float64(0.11237863420323012), 'learning_rate': np.float64(1.6411362770106581), 'max_depth': 8, 'min_child_weight': 3, 'n_estimators': 156, 'reg_alpha': np.float64(1.065230367363186), 'reg_lambda': np.float64(0.5754918970653401), 'subsample': np.float64(0.7549065051224433)}",0.6859137025484606,0.11237863420323012,1.6411362770106581,8,3,156,1.065230367363186,0.5754918970653401,0.7549065051224433
0,9,0.1061820964899151,0.0166288920951984,0.8055298184593811,0.17547746314769358,"{'colsample_bytree': np.float64(0.3765212492987861), 'gamma': np.float64(0.3850554417371451), 'learning_rate': np.float64(1.7491108584123434), 'max_depth': 10, 'min_child_weight': 4, 'n_estimators': 273, 'reg_alpha': np.float64(1.2250700097359846), 'reg_lambda': np.float64(1.7042244482420654), 'subsample': np.float64(0.7688021116286146)}",0.3765212492987861,0.3850554417371451,1.7491108584123434,10,4,273,1.2250700097359846,1.7042244482420654,0.7688021116286146
