search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,bagging_fraction,bagging_freq,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_depth,min_child_samples,min_child_weight,n_estimators,num_leaves
4,17,0.11233579257261536,0.019044341327340026,0.4499972759788598,0.03755438662993137,"{'bagging_fraction': np.float64(0.7258364158940758), 'bagging_freq': 25, 'feature_fraction': np.float64(0.6850139682841717), 'lambda_l1': np.float64(1.8095026863976391), 'lambda_l2': np.float64(1.200175418570628), 'learning_rate': np.float64(1.5294530505237527), 'max_depth': 6, 'min_child_samples': 37, 'min_child_weight': np.float64(12.102419241075925), 'n_estimators': 111, 'num_leaves': 146}",0.7258364158940758,25,0.6850139682841717,1.8095026863976391,1.200175418570628,1.5294530505237527,6,37,12.102419241075925,111,146
4,18,0.06271845498983866,0.022920434089534054,0.3794268953991827,0.01974099744856636,"{'bagging_fraction': np.float64(0.5406313553980496), 'bagging_freq': 24, 'feature_fraction': np.float64(0.42178244934331655), 'lambda_l1': np.float64(2.9972164499853724), 'lambda_l2': np.float64(1.7719408955763551), 'learning_rate': np.float64(0.7133472396858542), 'max_depth': 9, 'min_child_samples': 48, 'min_child_weight': np.float64(17.700085709460446), 'n_estimators': 167, 'num_leaves': 90}",0.5406313553980496,24,0.42178244934331655,2.9972164499853724,1.7719408955763551,0.7133472396858542,9,48,17.700085709460446,167,90
4,19,0.09816041139106832,0.007591358976429044,0.6166592367225849,0.014824830007133633,"{'bagging_fraction': np.float64(0.41528698820012283), 'bagging_freq': 13, 'feature_fraction': np.float64(0.6639697256200829), 'lambda_l1': np.float64(2.2004533252494998), 'lambda_l2': np.float64(2.264589810154299), 'learning_rate': np.float64(0.8902803577829462), 'max_depth': 4, 'min_child_samples': 97, 'min_child_weight': np.float64(2.8689605434240018), 'n_estimators': 257, 'num_leaves': 96}",0.41528698820012283,13,0.6639697256200829,2.2004533252494998,2.264589810154299,0.8902803577829462,4,97,2.8689605434240018,257,96
5,0,0.09652258723439945,0.022623180419402027,0.9733968781131093,0.003822265994173968,"{'bagging_fraction': np.float64(0.6655548408943803), 'bagging_freq': 5, 'feature_fraction': np.float64(0.673176079422201), 'lambda_l1': np.float64(0.9168456188342138), 'lambda_l2': np.float64(1.2248396055237614), 'learning_rate': np.float64(0.9567652223964613), 'max_depth': 11, 'min_child_samples': 74, 'min_child_weight': np.float64(11.147198542875849), 'n_estimators': 271, 'num_leaves': 104}",0.6655548408943803,5,0.673176079422201,0.9168456188342138,1.2248396055237614,0.9567652223964613,11,74,11.147198542875849,271,104
5,1,0.07732024719158749,0.022267403033015137,0.9197368490196356,0.001306358971944854,"{'bagging_fraction': np.float64(0.921898648480286), 'bagging_freq': 21, 'feature_fraction': np.float64(0.42291966011721027), 'lambda_l1': np.float64(1.6002021483207811), 'lambda_l2': np.float64(1.2591826172836924), 'learning_rate': np.float64(0.6828167311839931), 'max_depth': 5, 'min_child_samples': 46, 'min_child_weight': np.float64(7.129505564322875), 'n_estimators': 262, 'num_leaves': 120}",0.921898648480286,21,0.42291966011721027,1.6002021483207811,1.2591826172836924,0.6828167311839931,5,46,7.129505564322875,262,120
5,2,0.0615735056515271,0.035344257694168255,0.12019664501251633,0.09982399260506851,"{'bagging_fraction': np.float64(0.48506051149966867), 'bagging_freq': 10, 'feature_fraction': np.float64(0.752720598167237), 'lambda_l1': np.float64(0.6306775966249398), 'lambda_l2': np.float64(0.5173666047962027), 'learning_rate': np.float64(1.4134635933923305), 'max_depth': 11, 'min_child_samples': 92, 'min_child_weight': np.float64(19.07158771462677), 'n_estimators': 136, 'num_leaves': 104}",0.48506051149966867,10,0.752720598167237,0.6306775966249398,0.5173666047962027,1.4134635933923305,11,92,19.07158771462677,136,104
5,3,0.0865265158845277,0.0273505131647115,0.22656006162383774,0.08406413242665378,"{'bagging_fraction': np.float64(0.45478561875412515), 'bagging_freq': 27, 'feature_fraction': np.float64(0.46212481185586013), 'lambda_l1': np.float64(2.3640770131940956), 'lambda_l2': np.float64(1.5417595925403813), 'learning_rate': np.float64(1.7518168878019824), 'max_depth': 6, 'min_child_samples': 79, 'min_child_weight': np.float64(6.572495215097744), 'n_estimators': 135, 'num_leaves': 73}",0.45478561875412515,27,0.46212481185586013,2.3640770131940956,1.5417595925403813,1.7518168878019824,6,79,6.572495215097744,135,73
5,4,0.05172271875963215,0.04817247570391219,0.235900505743975,0.2822041181952011,"{'bagging_fraction': np.float64(0.8873871378663879), 'bagging_freq': 14, 'feature_fraction': np.float64(0.5547425052506494), 'lambda_l1': np.float64(2.626096312754111), 'lambda_l2': np.float64(1.5601668587667148), 'learning_rate': np.float64(1.8592276809636656), 'max_depth': 11, 'min_child_samples': 89, 'min_child_weight': np.float64(20.036711523408457), 'n_estimators': 230, 'num_leaves': 140}",0.8873871378663879,14,0.5547425052506494,2.626096312754111,1.5601668587667148,1.8592276809636656,11,89,20.036711523408457,230,140
5,5,0.09226513586798434,0.020274201310806244,0.4510746677206875,0.22474910198993378,"{'bagging_fraction': np.float64(0.926671196628444), 'bagging_freq': 5, 'feature_fraction': np.float64(0.4712567057603562), 'lambda_l1': np.float64(1.8131599255792672), 'lambda_l2': np.float64(0.7990476191902682), 'learning_rate': np.float64(1.4588179450695518), 'max_depth': 6, 'min_child_samples': 51, 'min_child_weight': np.float64(13.690585416630938), 'n_estimators': 185, 'num_leaves': 129}",0.926671196628444,5,0.4712567057603562,1.8131599255792672,0.7990476191902682,1.4588179450695518,6,51,13.690585416630938,185,129
5,6,0.06694128977418388,0.017767938292620276,0.4080719757242595,0.016860866999449622,"{'bagging_fraction': np.float64(0.7952522228197245), 'bagging_freq': 17, 'feature_fraction': np.float64(0.6402621105191705), 'lambda_l1': np.float64(1.069362163976358), 'lambda_l2': np.float64(1.169936041732603), 'learning_rate': np.float64(0.8146642724957343), 'max_depth': 3, 'min_child_samples': 70, 'min_child_weight': np.float64(16.705685662356437), 'n_estimators': 290, 'num_leaves': 100}",0.7952522228197245,17,0.6402621105191705,1.069362163976358,1.169936041732603,0.8146642724957343,3,70,16.705685662356437,290,100
