search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,activation,alpha,learning_rate,learning_rate_init,max_iter,hidden_layer_sizes
7,1,0.09229859571322988,0.051239386137575706,0.9953754920976321,0.004343807651308545,"{'activation': 'relu', 'alpha': np.float64(0.09771716289754605), 'hidden_layer_sizes': (100, 50, 200), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.03618731929246386), 'max_iter': 356}",relu,0.09771716289754605,constant,0.03618731929246386,356,"(100, 50, 200)"
7,2,0.0488590699467503,0.028454314728169814,0.9976878612716764,0.002831780049460347,"{'activation': 'tanh', 'alpha': np.float64(0.09009579083620595), 'hidden_layer_sizes': (200, 200, 200), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.04781122037409106), 'max_iter': 524}",tanh,0.09009579083620595,invscaling,0.04781122037409106,524,"(200, 200, 200)"
7,3,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.03461444501110074), 'hidden_layer_sizes': (200, 300, 100), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.04912307052885056), 'max_iter': 252}",logistic,0.03461444501110074,constant,0.04912307052885056,252,"(200, 300, 100)"
7,4,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.0854712610368293), 'hidden_layer_sizes': (200, 200, 200), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.007397105575658835), 'max_iter': 564}",logistic,0.0854712610368293,adaptive,0.007397105575658835,564,"(200, 200, 200)"
8,0,0.0784385808537225,0.04981348479284116,0.9942194227334703,0.003677247148353959,"{'activation': 'relu', 'alpha': np.float64(0.05288915544229602), 'hidden_layer_sizes': (100, 50, 200), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.09441743710139235), 'max_iter': 216}",relu,0.05288915544229602,constant,0.09441743710139235,216,"(100, 50, 200)"
8,1,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.033447937684400825), 'hidden_layer_sizes': (100, 50, 100, 50), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.06727562453711333), 'max_iter': 577}",logistic,0.033447937684400825,constant,0.06727562453711333,577,"(100, 50, 100, 50)"
8,2,0.0927801987602652,0.04390832182823993,0.997701073492981,0.002815675946196818,"{'activation': 'relu', 'alpha': np.float64(0.01012935887997031), 'hidden_layer_sizes': (50, 50, 50, 50), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.026343178238399836), 'max_iter': 594}",relu,0.01012935887997031,invscaling,0.026343178238399836,594,"(50, 50, 50, 50)"
8,3,0.10767724707924042,0.04871886376877611,0.9988439306358382,0.0023121387283237204,"{'activation': 'tanh', 'alpha': np.float64(0.02760237485818101), 'hidden_layer_sizes': (200, 300, 100), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.0512089652917619), 'max_iter': 216}",tanh,0.02760237485818101,adaptive,0.0512089652917619,216,"(200, 300, 100)"
8,4,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.10571015795237299), 'hidden_layer_sizes': (100, 100, 100, 100), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.03400147524727644), 'max_iter': 581}",logistic,0.10571015795237299,constant,0.03400147524727644,581,"(100, 100, 100, 100)"
9,0,0.07452349653041021,0.03754803101962115,0.997701073492981,0.002815675946196818,"{'activation': 'tanh', 'alpha': np.float64(0.015376382017501536), 'hidden_layer_sizes': (100, 50, 200), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.020755613190438272), 'max_iter': 238}",tanh,0.015376382017501536,invscaling,0.020755613190438272,238,"(100, 50, 200)"
9,1,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.08433620039139048), 'hidden_layer_sizes': (100, 50, 200), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.0576324174092471), 'max_iter': 207}",logistic,0.08433620039139048,invscaling,0.0576324174092471,207,"(100, 50, 200)"
9,2,0.08953276353276354,0.022116833889137415,1.0,0.0,"{'activation': 'tanh', 'alpha': np.float64(0.0910733346083736), 'hidden_layer_sizes': (50, 50, 50, 50), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.09291111699634068), 'max_iter': 520}",tanh,0.0910733346083736,adaptive,0.09291111699634068,520,"(50, 50, 50, 50)"
9,3,0.07422949338265529,0.045883653516659004,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.08234140659580719), 'hidden_layer_sizes': (300, 300, 300), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.004033222630035637), 'max_iter': 358}",relu,0.08234140659580719,invscaling,0.004033222630035637,358,"(300, 300, 300)"
9,4,0.06420380280648105,0.037450298934182,0.9965183492404893,0.00464782034877962,"{'activation': 'relu', 'alpha': np.float64(0.013502151026013423), 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.09191683972235767), 'max_iter': 346}",relu,0.013502151026013423,invscaling,0.09191683972235767,346,"(100, 100, 100)"
10,0,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.02233696190593826), 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.05258215443874664), 'max_iter': 251}",logistic,0.02233696190593826,constant,0.05258215443874664,251,"(100, 100, 100)"
10,1,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.020350704622076367), 'hidden_layer_sizes': (100, 100, 50, 50), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.07363937886692408), 'max_iter': 542}",logistic,0.020350704622076367,invscaling,0.07363937886692408,542,"(100, 100, 50, 50)"
10,2,0.09529642045497444,0.05445071276388596,1.0,0.0,"{'activation': 'tanh', 'alpha': np.float64(0.036085088285066576), 'hidden_layer_sizes': (200, 200, 200, 200), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.09974747249718346), 'max_iter': 538}",tanh,0.036085088285066576,adaptive,0.09974747249718346,538,"(200, 200, 200, 200)"
10,3,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.01396590618370043), 'hidden_layer_sizes': (200, 200, 200, 200), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.05245524592396759), 'max_iter': 465}",logistic,0.01396590618370043,invscaling,0.05245524592396759,465,"(200, 200, 200, 200)"
10,4,0.073524550840021,0.037122046012611584,0.9988439306358382,0.0023121387283237204,"{'activation': 'tanh', 'alpha': np.float64(0.02117296496577223), 'hidden_layer_sizes': (100, 50, 200), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.06934181340019575), 'max_iter': 498}",tanh,0.02117296496577223,invscaling,0.06934181340019575,498,"(100, 50, 200)"
11,0,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.055617702230092755), 'hidden_layer_sizes': (100, 50, 200), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.09298748330802109), 'max_iter': 494}",logistic,0.055617702230092755,invscaling,0.09298748330802109,494,"(100, 50, 200)"
11,1,0.07105032083755489,0.028831675036677374,0.9953622798763275,0.004347201391008007,"{'activation': 'relu', 'alpha': np.float64(0.05142057935303979), 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.05424388282572195), 'max_iter': 421}",relu,0.05142057935303979,adaptive,0.05424388282572195,421,"(100, 100, 100)"
11,2,0.07168113519836852,0.03960287045599948,0.9988439306358382,0.0023121387283237204,"{'activation': 'tanh', 'alpha': np.float64(0.05594884735565396), 'hidden_layer_sizes': (200, 200, 200, 200), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.07857989139946289), 'max_iter': 403}",tanh,0.05594884735565396,invscaling,0.07857989139946289,403,"(200, 200, 200, 200)"
11,3,0.0,0.0,0.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.10180113167138653), 'hidden_layer_sizes': (200, 200, 200), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.048527455597115514), 'max_iter': 476}",logistic,0.10180113167138653,adaptive,0.048527455597115514,476,"(200, 200, 200)"
11,4,0.06366611207274303,0.026966570088658947,0.9988439306358382,0.0023121387283237204,"{'activation': 'tanh', 'alpha': np.float64(0.052588370520935075), 'hidden_layer_sizes': (200, 200, 200), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.09510997688794237), 'max_iter': 398}",tanh,0.052588370520935075,adaptive,0.09510997688794237,398,"(200, 200, 200)"
12,0,0.09073553854041659,0.06177586369715569,0.9942194227334703,0.003677247148353959,"{'activation': 'relu', 'alpha': np.float64(0.061388474221788565), 'hidden_layer_sizes': (300, 200, 100, 50), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.08213375437959226), 'max_iter': 220}",relu,0.061388474221788565,constant,0.08213375437959226,220,"(300, 200, 100, 50)"
12,1,0.0911762723289518,0.05838243111935451,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.05236808171064445), 'hidden_layer_sizes': (200, 300, 100), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.08514173059318636), 'max_iter': 573}",relu,0.05236808171064445,adaptive,0.08514173059318636,573,"(200, 300, 100)"
12,2,0.09152780461389445,0.0400224816839613,1.0,0.0,"{'activation': 'tanh', 'alpha': np.float64(0.07015891295454245), 'hidden_layer_sizes': (100, 100, 100, 100), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.03756873282086611), 'max_iter': 544}",tanh,0.07015891295454245,constant,0.03756873282086611,544,"(100, 100, 100, 100)"
12,3,0.07553544494720965,0.07065971494721957,0.9965183492404893,0.00464782034877962,"{'activation': 'relu', 'alpha': np.float64(0.03479129527855741), 'hidden_layer_sizes': (50, 50, 50, 50), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.04396998488294604), 'max_iter': 461}",relu,0.03479129527855741,constant,0.04396998488294604,461,"(50, 50, 50, 50)"
12,4,0.0871943371943372,0.051705587042241284,0.9988571428571429,0.0022857142857142685,"{'activation': 'relu', 'alpha': np.float64(0.05515602287772113), 'hidden_layer_sizes': (200, 300, 100), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.04177147728036651), 'max_iter': 553}",relu,0.05515602287772113,invscaling,0.04177147728036651,553,"(200, 300, 100)"
